Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Larry Patey,1984,1985,2,16,1,3,4,-6,16,0,0,1,0,2,0,1,10,10,,,pateyla01
James Patrick,1984,1994,11,671,104,363,467,66,541,52,50,2,8,165,188,10,1254,8.3,,,patrija01
Lester Patrick*,1927,1927,1,1,0,0,0,,2,,,,0,,,,,,,,patrile01
Lynn Patrick*,1935,1946,10,455,145,191,336,,240,116,23,6,16,157,29,5,,,,,patrily01
Muzz Patrick,1938,1946,5,164,5,26,31,,139,5,0,0,1,25,0,1,,,,,patrimu01
Steve Patrick,1985,1986,2,71,15,21,36,-10,100,11,4,0,0,17,4,0,83,18.1,,,patrist01
Mark Pavelich,1982,1986,5,341,133,185,318,49,326,79,48,6,17,130,54,1,689,19.3,,,pavelma02
Jim Pavese,1988,1988,1,14,0,1,1,-7,48,0,0,0,0,1,0,0,13,0,,,pavesji01
Mel Pearson,1960,1965,4,36,2,5,7,-7,23,2,0,0,0,5,0,0,46,4.3,,,pearsme01
Fern Perreault,1948,1950,2,3,0,0,0,,0,0,0,0,0,0,0,0,,,,,perrefe01
Frank Peters,1931,1931,1,43,0,0,0,,57,,,,0,,,,,,,,peterfr01
Garry Peters,1966,1966,1,63,7,3,10,-4,42,7,0,0,0,3,0,0,69,10.1,,,peterga01
Michel Petit,1988,1989,2,133,17,49,66,-12,377,10,7,0,4,32,16,1,228,7.5,,,petitmi01
Ronald Petrovický,2003,2003,1,66,5,9,14,-12,77,2,2,1,1,8,1,0,65,7.7,820,12:25,petroro02
Gord Pettinger,1933,1933,1,34,1,2,3,,18,,,,0,,,,,,,,pettigo01
Dave Pichette,1988,1988,1,6,1,3,4,-2,4,1,0,0,0,0,3,0,7,14.3,,,picheda01
Alf Pike,1940,1947,6,234,42,77,119,,145,34,7,1,6,70,6,1,,,,,pikeal01
Rich Pilon,2000,2001,2,114,2,13,15,-2,211,2,0,0,0,13,0,0,40,5,1906,16:43,pilonri01
Neal Pionk,2018,2019,2,101,7,33,40,-17,47,5,2,0,1,16,16,1,186,3.8,2172,21:30,pionkne01
Brandon Pirri,2017,2017,1,60,8,10,18,-8,25,3,5,0,3,6,4,0,96,8.3,737,12:17,pirribr01
Aleš Píša,2003,2003,1,3,0,0,0,1,0,0,0,0,0,0,0,0,3,0,42,13:55,pisaal01
Tyler Pitlick,2024,2024,1,6,0,1,1,0,0,0,0,0,0,1,0,0,4,0,60,9:58,pitlity01
Bob Plager,1965,1967,3,29,0,5,5,-11,40,0,0,0,0,4,1,0,52,0,,,plagebo01
Pierre Plante,1979,1979,1,70,6,25,31,10,37,6,0,0,1,20,2,3,84,7.1,,,plantpi01
Thomas Pöck,2004,2008,4,59,7,7,14,-13,20,7,0,0,0,3,4,0,101,6.9,966,16:22,pockth01
Walt Poddubny,1987,1988,2,152,78,97,175,17,125,54,24,0,9,52,45,0,455,17.1,,,podduwa01
Rudy Poeschek,1988,1990,3,68,0,2,2,-9,256,0,0,0,0,2,0,0,19,0,,,poescru01
Bud Poile*,1950,1950,1,28,3,6,9,,8,3,0,0,1,3,3,0,,,,,poilebu01
John Polich,1940,1941,2,3,0,1,1,,0,0,0,0,0,1,0,0,,,,,policjo01
Greg Polis,1975,1979,5,275,65,76,141,-8,196,54,7,4,8,67,6,3,640,10.2,,,polisgr01
Larry Popein,1955,1961,7,402,75,127,202,-2,150,69,3,3,6,112,12,3,155,9,,,popeila01
Peter Popovic,1999,1999,1,68,1,4,5,-12,40,1,0,0,0,4,0,0,64,1.6,1407,20:41,popovpe01
Tom Poti,2002,2006,4,231,25,78,103,5,177,15,10,0,10,40,37,1,403,6.2,5239,22:41,potito01
Corey Potter,2009,2010,2,8,1,1,2,-1,2,1,0,0,0,1,0,0,6,16.7,103,12:50,potteco01
Benoît Pouliot,2014,2014,1,80,15,21,36,10,56,8,7,0,4,20,1,0,141,10.6,1075,13:26,poulibe01
Darroll Powe,2013,2014,2,35,0,0,0,-4,18,0,0,0,0,0,0,0,18,0,305,8:42,poweda01
Babe Pratt*,1936,1943,8,308,27,97,124,,299,22,3,2,5,80,15,2,,,,,prattba01
Dean Prentice,1953,1963,11,666,186,236,422,1,266,148,36,2,25,199,34,3,791,11,,,prentde01
Wayne Presley,1996,1996,1,61,4,6,10,7,71,3,0,1,2,6,0,0,85,4.7,,,preslwa01
Noel Price,1960,1961,2,8,0,0,0,-1,4,0,0,0,0,0,0,0,6,0,,,priceno01
Pat Price,1987,1987,1,13,0,2,2,-8,49,0,0,0,0,2,0,0,4,0,,,pricepa01
Sean Pronger,1999,1999,1,14,0,3,3,-3,4,0,0,0,0,3,0,0,3,0,77,5:32,prongse01
Vinny Prospal,2010,2011,2,104,29,52,81,12,40,20,8,1,4,31,21,0,241,12,1952,18:46,prospva01
Petr Průcha,2006,2009,4,237,63,50,113,-3,100,37,26,0,5,34,16,0,399,15.8,3019,12:44,pruchpe01
Brandon Prust,2010,2012,3,190,22,33,55,4,381,15,0,7,5,30,1,2,176,12.5,2355,12:24,prustbr01
Matt Puempel,2017,2017,1,27,6,3,9,-6,4,3,3,0,1,3,0,0,32,18.8,274,10:10,puempma01
Dale Purinton,2000,2004,5,181,4,16,20,-3,578,4,0,0,0,16,0,0,106,3.8,2103,11:37,purinda01
Jamie Pushor,2004,2004,1,7,0,0,0,-3,0,0,0,0,0,0,0,0,4,0,92,13:08,pushoja01
Jean Pusie,1934,1934,1,19,0,2,2,,17,0,0,0,0,0,2,0,,,,,pusieje01
Taylor Pyatt,2013,2014,2,70,6,6,12,-4,16,5,1,0,0,5,1,0,78,7.7,907,12:58,pyattta01
Leo Quenneville,1930,1930,1,25,0,3,3,,10,,,,0,,,,,,,,quennle01
Stéphane Quintal,2000,2000,1,75,2,14,16,-10,77,2,0,0,1,10,3,1,102,2,1430,19:04,quintst01
Karel Rachůnek,2004,2007,2,78,7,23,30,-18,42,1,5,1,1,10,13,0,120,5.8,1508,19:20,rachuka01
Don Raleigh,1944,1956,10,535,101,219,320,,96,81,20,0,13,177,40,2,,,,,raleido01
Jean Ratelle*,1961,1976,16,861,336,481,817,108,192,252,82,2,46,340,141,0,2045,16.4,,,ratelje01
Mel Read,1947,1947,1,6,0,0,0,,8,0,0,0,0,0,0,0,,,,,readme01
Ryan Reaves,2022,2023,2,81,5,8,13,-18,55,5,0,0,0,8,0,0,47,10.6,836,10:19,reavery01
Wade Redden,2009,2010,2,156,5,35,40,3,78,3,2,0,0,27,7,1,227,2.2,3123,20:01,reddewa01
Bill Regan,1930,1931,2,51,2,1,3,,55,,,,0,,,,,,,,reganbi01
Ollie Reinikka,1927,1927,1,16,0,0,0,,0,,,,0,,,,,,,,reiniol01
Leo Reise,1953,1954,2,131,7,20,27,,124,7,0,0,0,16,3,1,,,,,reisele02
Leo Reise,1930,1930,1,14,0,1,1,,8,,,,0,,,,,,,,reisele01
Erik Reitz,2009,2009,1,11,0,0,0,-4,24,0,0,0,0,0,0,0,7,0,113,10:16,reitzer01
Tarmo Reunanen,2021,2021,1,4,0,1,1,1,0,0,0,0,0,1,0,0,5,0,53,13:17,reunata01
Pascal Rhéaume,2004,2004,1,17,0,0,0,-3,5,0,0,0,0,0,0,0,15,0,171,10:02,rheaupa01
Steven Rice,1991,1991,1,11,1,1,2,2,4,1,0,0,0,1,0,0,12,8.3,,,ricest01
Brad Richards,2012,2014,3,210,56,95,151,-1,54,41,15,0,12,58,37,0,598,9.4,4058,19:19,richabr01
Justin Richards,2021,2021,1,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0,10,10:11,richaju01
Dave Richardson,1964,1965,2,41,3,2,5,-5,23,3,0,0,1,2,0,0,25,12,,,richada01
Steve Richmond,1984,1986,3,77,2,12,14,-10,263,2,0,0,0,11,0,1,38,5.3,,,richmst01
Barry Richter,1996,1996,1,4,0,1,1,2,0,0,0,0,0,1,0,0,3,0,,,richtba01
Mike Ridley,1986,1987,2,118,38,63,101,-11,89,27,11,0,7,41,22,0,231,16.5,,,ridlemi01
Vic Ripley,1934,1935,2,38,5,14,19,,12,5,0,0,1,14,0,0,,,,,riplevi01
Patrick Rissmiller,2009,2009,1,2,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,18,9:13,rissmpa01
Alex Ritson,1945,1945,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,ritsoal01
Wayne Rivers,1969,1969,1,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,,riverwa01
Bert Robertsson,2001,2001,1,2,0,0,0,-1,4,0,0,0,0,0,0,0,0,,11,5:37,roberbe01
Doug Robinson,1965,1967,3,73,16,26,42,-2,10,13,3,0,1,21,5,0,126,12.7,,,robindo01
Luc Robitaille*,1996,1997,2,146,47,70,117,29,128,31,16,0,8,46,24,0,423,11.1,,,robitlu01
Mike Robitaille,1970,1971,2,15,1,1,2,-1,15,0,1,0,0,1,0,0,13,7.7,,,robitmi01
Leon Rochefort,1961,1963,2,24,5,4,9,3,6,5,0,0,0,4,0,0,54,9.3,,,rochele01
Normand Rochefort,1989,1992,4,112,7,15,22,2,108,7,0,0,2,12,1,2,96,7.3,,,rocheno01
Eddie Rodden,1931,1931,1,19,0,3,3,,8,,,,0,,,,,,,,roddeed01
Mike Rogers,1982,1986,5,316,117,191,308,-56,142,82,25,10,11,104,82,5,764,15.3,,,rogermi01
Dale Rolfe,1971,1975,5,244,13,66,79,122,250,10,2,1,0,57,6,3,507,2.6,,,rolfeda01
Len Ronson,1961,1961,1,13,2,1,3,-3,10,2,0,0,2,1,0,0,19,10.5,,,ronsole01
Paul Ronty,1952,1955,4,259,45,113,158,,64,30,14,1,6,86,27,0,,,,,rontypa01
Kevin Rooney,2021,2022,2,115,14,12,26,-1,72,12,0,2,1,12,0,0,133,10.5,1512,13:09,rooneke01
Jim Ross,1952,1953,2,62,2,11,13,,29,1,1,0,0,10,1,0,,,,,rossji01
Bobby Rousseau,1972,1975,4,236,41,116,157,11,30,26,14,1,10,54,61,1,426,9.6,,,roussbo01
Ron Rowe,1948,1948,1,5,1,0,1,,0,0,1,0,0,0,0,0,,,,,rowero01
Jean-Yves Roy,1995,1995,1,3,1,0,1,-1,2,1,0,0,0,0,0,0,8,12.5,,,royje01
Michal Rozsíval,2006,2011,6,432,42,134,176,44,374,20,20,2,10,75,53,6,570,7.4,9882,22:52,rozsimi01
Steve Rucchin,2006,2006,1,72,13,23,36,6,10,8,4,1,0,11,12,0,111,11.7,1151,16:00,rucchst01
Martin Ručinský,2002,2006,3,136,32,78,110,29,124,27,4,1,7,49,28,1,337,9.5,2508,18:26,rucinma01
Lindy Ruff,1989,1991,3,83,3,12,15,-18,138,3,0,0,2,11,1,0,88,3.4,,,ruffli01
Reijo Ruotsalainen,1982,1986,5,389,99,217,316,62,154,66,33,0,15,131,85,1,1250,7.9,,,ruotsre01
Duane Rupp,1963,1963,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,ruppdu01
Mike Rupp,2012,2013,2,68,4,1,5,-4,109,4,0,0,2,1,0,0,33,12.1,449,6:36,ruppmi01
Church Russell,1946,1948,3,90,20,16,36,,12,15,5,0,0,13,3,0,,,,,russech01
Simo Saarinen,1985,1985,1,8,0,0,0,-5,8,0,0,0,0,0,0,0,8,0,,,saarisi01
Larry Sacharuk,1973,1977,4,75,9,11,20,-16,18,4,5,0,4,4,7,0,131,6.9,,,sachala01
Kjell Samuelsson,1986,1987,2,39,2,6,8,-2,60,2,0,0,0,5,1,0,27,7.4,,,samuekj01
Mikael Samuelsson,2002,2003,2,125,14,24,38,10,55,9,2,3,3,20,3,1,212,6.6,1696,13:34,samuemi01
Ulf Samuelsson,1996,1999,4,287,14,46,60,19,475,13,1,0,3,39,6,1,239,5.9,2772,41:22:00,samueul01
Derek Sanderson,1975,1976,2,83,25,25,50,2,110,20,3,2,3,23,2,0,216,11.6,,,sandede01
Charlie Sands,1944,1944,1,9,0,2,2,,0,0,0,0,0,2,0,0,,,,,sandsch01
Tomas Sandström,1985,1990,6,407,173,207,380,-2,563,115,54,4,19,118,88,1,1277,13.5,,,sandsto01
Bobby Sanguinetti,2010,2010,1,5,0,0,0,0,4,0,0,0,0,0,0,0,5,0,58,11:32,sangubo01
Glen Sather*,1971,1974,4,186,18,24,42,16,193,16,1,1,3,23,0,1,139,12.9,,,sathegl01
Michael Sauer,2009,2012,3,98,4,14,18,28,96,3,1,0,2,14,0,0,70,5.7,1715,17:30,sauermi01
Marc Savard,1998,1999,2,98,10,41,51,-11,42,6,4,0,1,23,18,0,148,6.8,1309,18:42,savarma01
Chuck Scherza,1944,1945,2,27,5,5,10,,29,5,0,0,0,5,0,0,,,,,scherch01
Ken Schinkel,1960,1967,6,265,34,55,89,-56,77,29,3,2,7,46,5,4,406,8.4,,,schinke01
Braden Schneider,2022,2024,3,138,8,24,32,11,29,8,0,0,1,23,1,0,120,6.7,2161,15:39,schnebr01
Mathieu Schneider,1999,2000,2,155,20,44,64,-25,149,12,8,0,3,18,26,0,387,5.2,3628,23:24,schnema01
John Scott,2012,2012,1,6,0,0,0,-1,5,0,0,0,0,0,0,0,1,0,33,5:33,scottjo01
Laurie Scott,1928,1928,1,23,0,1,1,,6,,,,0,,,,,,,,scottla01
Richard Scott,2002,2004,2,10,0,0,0,0,28,0,0,0,0,0,0,0,2,0,42,4:13,scottri01
Brandon Segal,2013,2013,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,5,5:21,segalbr01
Earl Seibert*,1932,1936,5,204,27,41,68,,338,17,3,1,0,27,3,2,,,,,seibeea01
Rod Seiling,1964,1975,12,644,50,198,248,164,425,45,3,2,9,149,44,5,1198,4.2,,,seiliro01
George Senick,1953,1953,1,13,2,3,5,,8,2,0,0,0,2,1,0,,,,,senicge01
Pierre Sévigny,1998,1998,1,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,32,,sevigpi01
Eddie Shack,1959,1961,3,141,16,26,42,-34,232,16,0,0,4,24,2,0,149,6,,,shacked01
Joe Shack,1943,1945,2,70,9,27,36,,20,8,1,0,1,27,0,0,,,,,shackjo01
Brendan Shanahan*,2007,2008,2,140,52,56,108,0,82,24,25,3,6,29,25,2,560,9.3,2679,19:08,shanabr01
Kevin Shattenkirk,2018,2019,2,119,7,44,51,-29,64,4,3,0,1,28,16,0,242,2.9,2315,19:27,shattke01
David Shaw,1988,1992,5,240,17,57,74,12,314,6,9,2,3,34,22,1,317,5.4,,,shawda01
Jody Shelley,2010,2010,1,21,2,4,6,4,37,2,0,0,0,4,0,0,29,6.9,149,7:07,shelljo01
James Sheppard,2015,2015,1,14,2,0,2,-1,9,2,0,0,1,0,0,0,11,18.2,159,11:22,sheppja01
Ray Sheppard,1991,1991,1,59,24,23,47,8,21,17,7,0,5,15,8,0,129,18.6,,,sheppra01
Fred Shero*,1948,1950,3,145,6,14,20,,137,4,2,0,0,12,2,0,,,,,sherofr01
Alex Shibicky,1936,1946,8,324,109,92,201,,161,87,21,1,11,77,11,4,,,,,shibial01
Babe Siebert*,1933,1934,2,56,9,11,20,,54,0,0,0,1,1,0,0,,,,,siebeba01
Mike Siklenka,2004,2004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2:22,siklemi01
Dave Silk,1980,1983,4,141,30,33,63,-11,112,27,3,0,1,23,10,0,249,12,,,silkda01
Mike Siltala,1987,1988,2,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,,,siltami01
Chris Simon,2004,2004,1,65,14,9,23,14,225,11,3,0,0,9,0,0,116,12.1,775,11:56,simonch01
Reg Sinclair,1951,1952,2,139,38,31,69,,103,30,5,3,4,26,5,0,,,,,sinclre01
Fredrik Sjöström,2008,2009,2,97,9,6,15,-11,38,7,0,2,1,5,0,1,121,7.4,1107,11:25,sjostfr01
Brady Skjei,2016,2020,5,307,25,87,112,-25,170,24,0,1,3,71,13,3,536,4.7,6142,20:00,skjeibr01
Brian Skrudland,1998,1998,1,59,5,6,11,-4,39,5,0,0,1,6,0,0,42,11.9,806,,skrudbr01
Ed Slowinski,1948,1953,6,291,58,74,132,,63,45,13,0,8,58,15,1,,,,,slowied01
Brendan Smith,2017,2021,5,235,14,29,43,-12,313,13,0,1,0,26,1,2,258,5.4,3559,15:09,smithbr05
Clint Smith*,1937,1943,7,281,80,116,196,,12,73,6,1,13,100,16,0,,,,,smithcl01
Dallas Smith,1978,1978,1,29,1,4,5,-13,23,1,0,0,0,4,0,0,36,2.8,,,smithda01
Don Smith,1950,1950,1,10,1,1,2,,0,1,0,0,1,1,0,0,,,,,smithdo02
Floyd Smith,1961,1961,1,29,5,9,14,-5,0,5,0,0,0,9,0,0,54,9.3,,,smithfl01
Geoff Smith,1998,1999,2,19,1,1,2,-9,8,0,1,0,0,1,0,0,11,9.1,382,95:27:00,smithge01
Stan Smith,1940,1941,2,9,2,1,3,,0,2,0,0,0,0,1,0,,,,,smithst01
Peter Smrek,2001,2002,2,22,0,4,4,-6,16,0,0,0,0,2,1,1,11,0,351,15:56,smrekpe01
Brad Smyth,1998,2001,2,5,1,0,1,0,4,1,0,0,0,0,0,0,11,9.1,63,15:39,smythbr01
Art Somers,1932,1935,4,145,19,37,56,,84,1,0,0,6,7,0,0,,,,,somerar01
Glen Sonmor,1954,1955,2,28,2,0,2,,21,2,0,0,2,0,0,0,,,,,sonmogl01
Irv Spencer,1960,1962,3,131,4,20,24,-8,81,4,0,0,2,18,2,0,126,3.2,,,spencir01
Ryan Spooner,2018,2019,2,36,5,13,18,-9,2,5,0,0,0,11,2,0,61,8.2,540,15:00,spoonry01
Ryan Sproul,2018,2018,1,16,1,4,5,-6,6,1,0,0,0,3,1,0,15,6.7,262,16:22,sproury01
Martin St. Louis*,2014,2015,2,93,22,38,60,13,24,16,5,1,1,27,11,0,181,12.2,1651,17:45,stlouma01
Eric Staal,2016,2016,1,20,3,3,6,1,2,3,0,0,0,3,0,0,40,7.5,325,16:15,staaler01
Marc Staal,2008,2020,13,892,43,145,188,46,432,34,7,2,6,125,11,9,971,4.4,18394,20:37,staalma01
Viktor Stålberg,2016,2016,1,75,9,11,20,6,22,9,0,0,0,11,0,0,125,7.2,915,12:12,stalbvi01
Al Staley,1949,1949,1,1,0,1,1,,0,0,0,0,0,1,0,0,,,,,staleal01
Allan Stanley*,1949,1955,7,307,23,56,79,,272,19,3,1,3,35,21,0,,,,,stanlal01
Wally Stanowski,1949,1951,3,146,3,14,17,,54,2,0,1,1,12,2,0,,,,,stanowa01
Harold Starr,1935,1936,2,49,0,0,0,,42,0,0,0,0,0,0,0,,,,,starrha01
Bud Stefanski,1978,1978,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,,,stefabu01
Pete Stemkowski,1971,1977,7,496,113,204,317,26,379,99,13,1,8,178,20,6,1183,9.6,,,stemkpe01
Lee Stempniak,2015,2015,1,53,9,9,18,7,18,9,0,0,1,9,0,0,86,10.5,659,12:26,stemple01
Derek Stepan,2011,2017,7,515,128,232,360,109,130,93,28,7,25,155,68,9,1198,10.7,9409,18:16,stepade01
Ulf Sterner,1965,1965,1,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,,sternul01
Kevin Stevens,1998,2000,3,199,40,52,92,-24,237,26,14,0,6,39,13,0,324,12.3,2914,24:29:00,steveke01
Gaye Stewart,1952,1953,2,87,16,27,43,,30,12,4,0,4,19,8,0,,,,,stewaga01
Ron Stewart,1968,1973,6,306,44,37,81,-9,74,34,2,8,12,31,4,2,464,9.5,,,stewaro01
P.J. Stock,1998,2000,3,54,2,4,6,4,131,2,0,0,1,4,0,0,11,18.2,257,16:02,stockpj01
Jack Stoddard,1952,1953,2,80,16,15,31,,31,12,4,0,3,12,3,0,,,,,stoddja01
Jarret Stoll,2016,2016,1,29,1,2,3,3,20,1,0,0,0,2,0,0,26,3.8,400,13:47,stollja01
Blaine Stoughton,1984,1984,1,14,5,2,7,-12,4,4,1,0,1,0,2,0,27,18.5,,,stougbl01
Neil Strain,1953,1953,1,52,11,13,24,,12,10,1,0,1,10,3,0,,,,,straine01
Martin Straka,2006,2008,3,224,65,122,187,38,88,49,15,1,12,66,55,1,452,14.4,4317,19:16,strakma01
Anton Strålman,2012,2014,3,182,7,31,38,32,62,7,0,0,0,27,4,0,225,3.1,3344,18:22,stralan01
Art Stratton,1960,1960,1,18,2,5,7,-4,2,2,0,0,0,5,0,0,29,6.9,,,stratar01
Art Strobel,1944,1944,1,7,0,0,0,,0,0,0,0,0,0,0,0,,,,,strobar01
Ryan Strome,2019,2022,4,263,71,124,195,40,206,55,15,1,11,80,41,3,523,13.6,4752,18:04,stromry01
Jason Strudwick,2006,2008,3,125,4,5,9,-10,108,4,0,0,1,5,0,0,55,7.3,1791,14:20,strudja01
Doug Sulliman,1980,1981,2,63,8,8,16,-8,34,7,1,0,0,8,0,0,82,9.8,,,sullido01
Red Sullivan,1957,1961,5,322,59,150,209,-28,296,40,14,5,9,110,37,3,343,6.1,,,sullire01
Chris Summers,2015,2016,2,6,0,0,0,-2,4,0,0,0,0,0,0,0,7,0,98,16:19,summech01
Ronnie Sundin,1998,1998,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,,sundiro01
Niklas Sundström,1996,1999,4,315,65,98,163,23,78,50,11,4,10,88,8,2,426,15.3,2934,36:14:00,sundsni01
Peter Sundström,1984,1986,3,206,48,62,110,-18,70,44,0,4,7,60,2,0,372,12.9,,,sundspe01
Bill Sweeney,1960,1960,1,4,1,0,1,-3,0,0,1,0,0,0,0,0,9,11.1,,,sweenbi01
Tim Sweeney,1998,1998,1,56,11,18,29,7,26,9,2,0,1,13,5,0,75,14.7,690,,sweenti01
Petr Sýkora,2006,2006,1,40,16,15,31,5,22,9,7,0,0,11,4,0,112,14.3,607,15:11,sykorpe01
Jeff Taffe,2006,2006,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,3:49,taffeje01
Dean Talafous,1979,1982,4,202,42,60,102,6,91,30,8,4,5,52,6,2,258,16.3,,,talafde01
Ron Talakoski,1987,1988,2,9,0,1,1,1,33,0,0,0,0,1,0,0,7,0,,,talakro01
Chris Tamer,1999,1999,1,52,1,5,6,-12,92,1,0,0,1,5,0,0,46,2.2,802,15:25,tamerch01
Vladimir Tarasenko,2023,2023,1,31,8,13,21,4,0,7,1,0,1,9,4,0,66,12.1,494,15:55,tarasvl01
Spence Tatchell,1943,1943,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,tatchsp01
Billy Taylor,1948,1948,1,2,0,0,0,,0,0,0,0,0,0,0,0,,,,,taylobi01
Billy Taylor,1965,1965,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,taylobi02
Ralph Taylor,1930,1930,1,22,2,0,2,,32,,,,0,,,,,,,,taylora01
Ted Taylor,1965,1966,2,8,0,1,1,-6,6,0,0,0,0,1,0,0,8,0,,,taylote01
Tim Taylor,2000,2001,2,114,11,16,27,-10,88,11,0,0,3,13,1,2,113,9.7,1415,12:25,tayloti01
Christian Thomas,2013,2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,12:46,thomach01
Paul Thompson,1927,1931,5,217,35,32,67,,150,,,,10,,,,,,,,thomppa01
Fred Thurier,1945,1945,1,50,16,19,35,,14,14,2,0,0,18,1,0,,,,,thurifr01
Billy Tibbetts,2003,2003,1,11,0,0,0,-2,12,0,0,0,0,0,0,0,6,0,110,9:58,tibbebi01
Esa Tikkanen,1993,1999,4,144,25,42,67,-13,176,16,5,4,4,24,17,1,352,7.1,436,13:38,tikkaes01
Jarred Tinordi,2022,2022,1,7,1,0,1,-5,7,1,0,0,1,0,0,0,5,20,90,12:51,tinorja01
Mark Tinordi,1988,1988,1,24,1,2,3,-5,50,1,0,0,0,2,0,0,13,7.7,,,tinorma01
Walt Tkaczuk,1968,1981,14,945,227,451,678,184,556,175,41,11,23,360,73,18,2156,10.5,,,tkaczwa01
Jeff Toms,2001,2002,2,53,8,5,13,-7,10,6,2,0,0,5,0,0,74,10.8,498,9:24,tomsje01
Zellio Toppazzini,1951,1952,2,71,15,14,29,,31,13,2,0,1,12,2,0,,,,,toppaze01
Wes Trainor,1949,1949,1,17,1,2,3,,6,1,0,0,0,1,1,0,,,,,trainwe01
John Tripp,2003,2003,1,9,1,2,3,1,2,1,0,0,0,1,1,0,16,6.3,79,8:43,trippjo01
Vincent Trocheck,2023,2024,2,96,26,49,75,5,75,15,11,0,4,39,10,0,250,10.4,1862,19:24,trochvi01
Guy Trottier,1969,1969,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,,,trottgu01
Jacob Trouba,2020,2024,5,285,29,84,113,26,256,21,7,1,5,68,11,5,669,4.3,6264,21:59,troubja01
Rene Trudell,1946,1948,3,129,24,28,52,,72,18,6,0,3,26,2,0,,,,,trudere01
Darren Turcotte,1989,1994,6,325,122,133,255,4,183,68,47,7,16,61,67,5,912,13.4,,,turcoda01
Dean Turner,1979,1979,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,,,turnede01
Norm Tustin,1942,1942,1,18,2,4,6,,0,2,0,0,1,3,1,0,,,,,tustino01
Tony Tuzzolino,2001,2001,1,6,0,0,0,-1,5,0,0,0,0,0,0,0,3,0,22,3:41,tuzzoto01
Fedor Tyutin,2004,2008,4,250,15,51,66,-6,159,7,6,2,2,33,15,3,341,4.4,5084,20:20,tyutife01
Igor Ulanov,2002,2002,1,39,0,6,6,-4,53,0,0,0,0,5,0,1,17,0,636,16:19,ulanoig01
Jeff Ulmer,2001,2001,1,21,3,0,3,-6,8,3,0,0,0,0,0,0,22,13.6,218,10:23,ulmerje01
Layne Ulmer,2004,2004,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,9,9:27,ulmerla01
Carol Vadnais,1976,1982,7,485,56,190,246,-28,690,34,19,3,4,105,78,7,923,6.1,,,vadnaca01
Sparky Vail,1929,1930,2,50,4,1,5,,26,,,,0,,,,,,,,vailsp01
Darren Van Impe,2002,2002,1,17,1,0,1,3,12,0,1,0,0,0,0,0,19,5.3,240,14:09,vanimda01
Ryan VandenBussche,1997,1998,2,27,2,0,2,-4,68,2,0,0,0,0,0,0,6,33.3,54,,vandery01
Alexei Vasiliev,2000,2000,1,1,0,0,0,-1,2,0,0,0,0,0,0,0,0,,16,15:57,vasilal02
Frank Vatrano,2022,2022,1,22,8,5,13,6,6,8,0,0,1,5,0,0,56,14.3,337,15:18,vatrafr01
Pat Verbeek,1995,1996,2,88,51,46,97,27,147,30,21,0,8,29,17,0,308,16.6,,,verbepa01
Jimmy Vesey,2017,2024,5,333,62,56,118,-22,89,54,7,1,18,48,8,0,538,11.5,4748,14:15,veseyji02
Dennis Vial,1991,1991,1,21,0,0,0,-4,61,0,0,0,0,0,0,0,5,0,,,vialde01
Steve Vickers,1973,1982,10,698,246,340,586,57,330,176,69,1,35,240,99,1,1278,19.2,,,vickest01
Terry Virtue,2000,2000,1,1,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,13,12:32,virtute01
Vladimir Vorobiev,1997,1998,2,31,7,7,14,-6,12,5,2,0,1,4,3,0,69,10.1,179,,vorobvl01
Aaron Voros,2009,2010,2,95,11,12,23,-11,211,7,4,0,1,12,0,0,88,12.5,855,9:00,vorosaa01
Carl Voss*,1933,1933,1,10,2,1,3,,4,,,,0,,,,,,,,vossca01
Frank Waite,1931,1931,1,17,1,3,4,,4,,,,0,,,,,,,,waitefr01
Gord Walker,1987,1988,2,19,2,4,6,-6,21,2,0,0,0,4,0,0,24,8.3,,,walkego01
Peter Wallin,1981,1982,2,52,3,14,17,2,14,3,0,0,1,10,4,0,63,4.8,,,wallipe01
