Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Pavel Bure*,2002,2003,2,51,31,19,50,13,22,22,8,1,4,12,7,0,185,16.8,1023,20:04,burepa01
Kelly Burnett,1953,1953,1,3,1,0,1,,0,1,0,0,0,0,0,0,,,,,burneke01
Gary Burns,1981,1981,1,11,2,2,4,-9,18,2,0,0,1,1,1,0,13,15.4,,,burnsga01
Norm Burns,1942,1942,1,11,0,4,4,,2,0,0,0,0,2,2,0,,,,,burnsno01
Jerry Butler,1973,1975,3,112,24,26,50,3,130,20,2,2,2,21,5,0,229,10.5,,,butleje01
Dane Byers,2008,2010,2,6,1,0,1,0,31,1,0,0,0,0,0,0,3,33.3,37,6:09,byersda01
Jerry Byers,1978,1978,1,7,2,1,3,-1,0,2,0,0,1,1,0,0,7,28.6,,,byersje01
Larry Cahan,1957,1965,7,309,19,39,58,-71,335,17,2,0,4,32,7,0,294,4.1,,,cahanla01
Eric Cairns,1997,1998,2,79,0,4,4,-10,239,0,0,0,0,4,0,0,34,0,402,,cairner01
Ryan Callahan,2007,2014,8,450,132,122,254,-2,268,82,44,6,26,89,27,6,1240,10.6,8236,18:18,callary01
Patsy Callighen,1928,1928,1,36,0,0,0,,32,,,,0,,,,,,,,callipa01
Scotty Cameron,1943,1943,1,35,8,11,19,,0,6,2,0,0,8,3,0,,,,,camersc01
Daniel Carcillo,2014,2014,1,31,3,0,3,0,43,3,0,0,1,0,0,0,22,13.6,272,8:47,carcida01
Paul Carey,2018,2018,1,60,7,7,14,-13,20,5,1,1,1,7,0,0,51,13.7,616,10:16,careypa01
Terry Carkner,1987,1987,1,52,2,13,15,-1,118,2,0,0,0,11,2,0,33,6.1,,,carknte01
Bobby Carpenter,1987,1987,1,28,2,8,10,-11,20,1,1,0,0,5,2,1,43,4.7,,,carpebo01
Ryan Carpenter,2023,2023,1,22,1,2,3,-5,10,1,0,0,0,2,0,0,17,5.9,202,9:11,carpery01
Gene Carr,1972,1974,3,139,18,23,41,4,90,15,3,0,4,21,2,0,164,11,,,carrge01
Lorne Carr,1934,1934,1,14,0,0,0,,0,0,0,0,0,0,0,0,,,,,carrlo01
Gene Carrigan,1931,1931,1,33,2,0,2,,13,,,,1,,,,,,,,carrige01
Bill Carse,1939,1939,1,1,0,1,1,,0,0,0,0,0,1,0,0,,,,,carsebi01
Gerry Carson,1929,1929,1,8,0,0,0,,5,,,,0,,,,,,,,carsoge01
Anson Carter,2003,2004,2,54,11,11,22,-12,20,6,4,1,2,9,2,0,80,13.8,866,16:02,cartean01
Daniel Catenacci,2018,2018,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,11,11:03,catenda01
Jay Caufield,1987,1987,1,13,2,1,3,-1,45,2,0,0,0,1,0,0,8,25,,,caufija01
Chick Chalmers,1954,1954,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,chalmch01
Todd Charlesworth,1990,1990,1,7,0,0,0,-3,6,0,0,0,0,0,0,0,4,0,,,charlto01
Rick Chartraw,1983,1984,2,30,2,2,4,-2,41,2,0,0,0,2,0,0,21,9.5,,,chartri01
Erik Christensen,2010,2012,3,132,20,38,58,17,44,14,6,0,2,31,7,0,173,11.6,1724,13:04,chriser01
Bob Chrystal,1954,1955,2,132,11,14,25,,112,7,4,0,3,8,5,1,,,,,chrysbo01
Shane Churla,1996,1997,2,55,0,1,1,-13,132,0,0,0,0,1,0,0,24,0,,,churlsh01
